Polling for available serial device...
Opening serial monitor for com port: "/dev/tty.usbmodem11201"
Serial monitor opened successfully:
22 devices found
FB:C4:EB:4F:D2:2F,-76
74:33:56:D2:E6:0E,-54
26:9C:DB:3E:CC:0B,-55
EA:85:F1:C6:5A:4B,-67
75:4E:1A:25:A4:53,-55
45:EF:5D:9F:AB:E9,-66
A8:F0:E0:91:32:FF,-84
51:C9:10:DC:A8:79,-78
34:5D:7F:18:7F:15,-53
1E:D2:DA:65:15:57,-82
BE:10:37:10:F8:4A,-64
CA:62:4F:14:2F:14,-43
8E:39:C4:94:D8:76,-56
92:E3:FE:95:E1:25,-70
C2:87:56:CF:F5:16,-65
6A:39:B9:FE:FA:CF,-44
4B:99:7A:EB:43:50,-71
44:16:F7:7A:41:5D,-43
C8:C0:32:A5:6A:E3,-83
8D:19:B4:EB:0D:6E,-70
A0:F2:8F:46:BC:ED,-48
23:04:31:BB:F4:53,-82
22 devices found
45:EF:5D:9F:AB:E9,-65
FB:C4:EB:4F:D2:2F,-78
B9:D2:4A:4F:CB:D6,-84
75:4E:1A:25:A4:53,-49
8E:39:C4:94:D8:76,-49
44:16:F7:7A:41:5D,-51
CA:62:4F:14:2F:14,-47
C8:C0:32:A5:6A:E3,-78
C2:87:56:CF:F5:16,-67
EA:85:F1:C6:5A:4B,-63
26:9C:DB:3E:CC:0B,-47
BE:10:37:10:F8:4A,-70
51:C9:10:DC:A8:79,-72
A0:F2:8F:46:BC:ED,-47
74:33:56:D2:E6:0E,-56
8D:19:B4:EB:0D:6E,-77
92:E3:FE:95:E1:25,-81
A8:F0:E0:91:32:FF,-73
65:05:40:68:F8:D1,-71
34:5D:7F:18:7F:15,-52
4B:99:7A:EB:43:50,-81
1E:D2:DA:65:15:57,-84
20 devices found
EA:85:F1:C6:5A:4B,-63
A8:F0:E0:91:32:FF,-78
34:5D:7F:18:7F:15,-53
45:EF:5D:9F:AB:E9,-72
8D:19:B4:EB:0D:6E,-71
4B:99:7A:EB:43:50,-69
BE:10:37:10:F8:4A,-66
22:02:0D:20:24:55,-81
C8:C0:32:A5:6A:E3,-87
FB:C4:EB:4F:D2:2F,-71
26:9C:DB:3E:CC:0B,-48
44:16:F7:7A:41:5D,-45
74:33:56:D2:E6:0E,-63
C2:87:56:CF:F5:16,-70
CA:62:4F:14:2F:14,-47
51:C9:10:DC:A8:79,-66
92:E3:FE:95:E1:25,-75
A0:F2:8F:46:BC:ED,-45
1E:D2:DA:65:15:57,-82
23:04:31:BB:F4:53,-86
20 devices found
A8:F0:E0:91:32:FF,-82
CA:62:4F:14:2F:14,-50
